software name,RP Name,overview,core features,tags,research area,research discipline,software type,software class,Software's Web Page,Software Documentation,Tutorials
Imlib2,Rockfish,"Imlib2 is an advanced replacement library for libraries like libXpm that provides many enhancements, while maintaining backwards compatibility. It allows for powerful image loading, saving, and manipulation in various formats.","Image loading and saving in various formats, Image manipulation capabilities, Enhanced features compared to previous libraries, Backwards compatibility maintained","Image library, Image manipulation, Backwards compatibility","Image Processing, Graphics Programming","Computer Science, Digital Arts",Graphics,Library,,,
numactl,"Anvil, ACES, Rockfish",numactl is a command-line utility that allows to control NUMA (Non-Uniform Memory Access) policy for processes or shared memory data on a NUMA system.,"Control NUMA policies for processes., Set memory allocation policies on NUMA systems., Affinity control for threads and processes., NUMA balancing options.","NUMA, Memory allocation, CPU affinity, System performance",System Architecture,Computer Science,Command-line Utility,System Utility,,,
Maven,Rockfish,"Maven is a build automation tool used primarily for Java projects. It manages project dependencies and builds, making it easier to compile, test, package, and deploy Java applications.","Dependency management, Build automation, Project management, Plugin-based architecture, Integration with repositories like Maven Central","build automation, Java projects, dependency management",Software Development,Computer Science,Build Automation,Build Tool,,,
DBus,ACES,"DBus (Desktop Bus) is an inter-process communication (IPC) system that facilitates communication between multiple processes or applications on Unix-like operating systems. It is commonly used in desktop environments for service activation, communication between applications, and system-wide message passing.","Inter-process communication system, Facilitates communication between applications, Service activation and message passing","Inter-process communication, IPC system",,,Utility,IPC System,https://www.freedesktop.org/wiki/Software/dbus/,,https://dbus.freedesktop.org/doc/dbus-tutorial.html
OpenMPI4,KyRIC,OpenMPI4 is an open-source Message Passing Interface (MPI) library that is widely used for parallel computing on a variety of hardware platforms. It allows developers to write scalable and portable parallel applications for distributed memory systems.,"Support for parallel computing, Message Passing Interface (MPI) library, Scalable and portable parallel applications, High-performance computing (HPC) capabilities","Open-source, Parallel computing, Distributed systems, High-performance computing",Parallel Computing,Computer Science,MPI Library,Library,https://www.open-mpi.org/,https://www.open-mpi.org/doc/,"https://www.open-mpi.org/faq/?category=running#mpi-environmental-variables,https://www.open-mpi.org/video/"
ChimeraX,ACES,"ChimeraX is a molecular visualization program developed by the UCSF Computer Graphics Lab for interactive visualization and analysis of molecular structures. It offers advanced tools for visualizing proteins, nucleic acids, small molecules, density maps, and molecular dynamics trajectories.","Molecular visualization and analysis program, Interactive visualization of molecular structures, Advanced tools for proteins, nucleic acids, and molecular dynamics","Molecular visualization, Structural analysis",Molecular Visualization,Structural Biology,Tool,Visualization Software,,,
RAxML,Bridges-2,RAxML (Randomized Axelerated Maximum Likelihood) is a program for sequential and parallel Maximum Likelihood-based inference of phylogenetic trees. It is widely used in computational biology for evolutionary analysis.,"Phylogenetic tree inference, Maximum Likelihood estimation, Support for multiple evolutionary models","Computational Biology, Phylogenetics, Maximum Likelihood",Evolutionary Genomics,Biology,Tool,Phylogenetics,,,
curl,"OOKAMI, Anvil, ACES, Rockfish","cURL is a command-line tool and library for transferring data with various protocols. It supports HTTP, HTTPS, FTP, FTPS, SCP, SFTP, LDAP, and many more. cURL is highly versatile and widely used for automating data transfers and performing various network-related tasks.","Support for multiple protocols, Data transfer with URLs, HTTP headers customization, Downloading and uploading files, Integration with scripting languages","command-line tool, data transfer, network protocols, automation",Networking,Computer Science,Open Source,Data Transfer Tools,https://curl.se/,https://curl.se/docs/,https://curl.se/docs/tutorial.html
vcftools,"Bridges-2, Rockfish","VCFtools is a versatile set of tools for working with Variant Call Format (VCF) files commonly used in genetics and genomics research. It allows researchers to perform various operations on genetic variation data, such as filtering, summarizing, and analyzing genetic variants in VCF format.","Filtering and subsetting VCF files based on criteria, Calculating allele frequency and basic population genetics statistics, Quality control and data manipulation for genetic variant analysis, Integration with other bioinformatics tools and workflows","genetics tool, VCF file processing, genomics analysis",Genomic Variation,Genetics,Genetic Variant Analysis Tool,Tool,https://vcftools.github.io/index.html,https://vcftools.github.io/man_latest.html,"https://vcftools.github.io/examples.html,https://www.biostars.org/p/335605/,https://www.internationalgenome.org/wiki/Analysis/vcf4.0/"
iCommands,Bridges-2,"iCommands is a collection of command-line utilities and tools provided by the iRODS (integrated Rule-Oriented Data System) data management software for managing and interacting with iRODS repositories. It offers functionalities for data storage, retrieval, and metadata management.","Command-line utilities for managing iRODS data repositories, Data storage, retrieval, and metadata management, Integration with iRODS data management system","Data Management, Command-line Tools, iRODS",Data Repositories,Data Management,Data Management Tool,Command-line Tools,,,
